inventory_id,date,ing_id,expected_qty,actual_qty,error_flag,note
INV00000131,2024-04-08,ING005,2410,2410,0,
INV00000132,2024-04-08,ING006,2000,2000,0,
INV00000133,2024-04-08,ING007,1960,1960,0,
INV00000134,2024-04-08,ING008,720,720,0,
INV00000135,2024-04-08,ING009,440,440,0,pending_delivery
INV00000136,2024-04-08,ING010,4245,4245,0,
INV00000137,2024-04-08,ING011,62,62,0,
INV00000138,2024-04-08,ING012,2495,2495,0,
INV00000139,2024-04-08,ING013,150,150,0,pending_delivery
INV00000140,2024-04-08,ING014,65,65,0,
INV00000141,2024-04-08,ING015,600,600,0,
INV00000142,2024-04-08,ING016,3000,3000,0,
INV00000143,2024-04-08,ING017,825,825,0,
INV00000144,2024-04-08,ING018,200,200,0,
INV00000145,2024-04-09,ING001,6782,6782,0,
INV00000146,2024-04-09,ING002,1550,1550,0,pending_delivery
INV00000147,2024-04-09,ING003,1260,1260,0,
INV00000148,2024-04-09,ING004,1240,1240,0,
INV00000149,2024-04-09,ING005,2080,2080,0,
INV00000150,2024-04-09,ING006,2000,2000,0,
INV00000151,2024-04-09,ING007,1550,1550,0,
INV00000152,2024-04-09,ING008,440,440,0,pending_delivery
INV00000153,2024-04-09,ING009,3000,3000,0,
INV00000154,2024-04-09,ING010,3520,3520,0,
INV00000155,2024-04-09,ING011,49,49,0,
INV00000156,2024-04-09,ING012,2210,2210,0,
INV00000157,2024-04-09,ING013,3000,3000,0,
INV00000158,2024-04-09,ING014,53,53,0,
INV00000159,2024-04-09,ING015,150,150,0,pending_delivery
INV00000160,2024-04-09,ING016,2800,2800,0,
INV00000161,2024-04-09,ING017,650,650,0,
INV00000162,2024-04-09,ING018,200,200,0,
INV00000163,2024-04-10,ING001,6034,6034,0,
INV00000164,2024-04-10,ING002,30000,30000,0,
INV00000165,2024-04-10,ING003,1160,1160,0,
INV00000166,2024-04-10,ING004,1120,1120,0,
INV00000167,2024-04-10,ING005,1870,1870,0,
INV00000168,2024-04-10,ING006,2000,2000,0,
INV00000169,2024-04-10,ING007,860,860,0,
INV00000170,2024-04-10,ING008,3000,3000,0,
INV00000171,2024-04-10,ING009,2760,2760,0,
INV00000172,2024-04-10,ING010,3060,3060,0,
INV00000173,2024-04-10,ING011,38,38,0,
INV00000174,2024-04-10,ING012,2030,2030,0,
INV00000175,2024-04-10,ING013,2850,2850,0,
INV00000176,2024-04-10,ING014,48,48,0,
INV00000177,2024-04-10,ING015,3000,3000,0,
INV00000178,2024-04-10,ING016,2500,2500,0,
INV00000179,2024-04-10,ING017,490,490,0,
INV00000180,2024-04-10,ING018,200,200,0,
INV00000181,2024-04-11,ING001,5160,5160,0,
INV00000182,2024-04-11,ING002,14800,14800,0,
INV00000183,2024-04-11,ING003,1000,1000,0,
INV00000184,2024-04-11,ING004,1080,1080,0,
INV00000185,2024-04-11,ING005,1500,1500,0,
INV00000186,2024-04-11,ING006,2000,2000,0,
INV00000187,2024-04-11,ING007,140,140,0,pending_delivery
INV00000188,2024-04-11,ING008,2820,2820,0,
INV00000189,2024-04-11,ING009,2510,2510,0,
INV00000190,2024-04-11,ING010,2330,2330,0,
INV00000191,2024-04-11,ING011,28,28,0,
INV00000192,2024-04-11,ING012,1710,1710,0,
INV00000193,2024-04-11,ING013,2580,2580,0,
INV00000194,2024-04-11,ING014,35,35,0,
INV00000195,2024-04-11,ING015,2600,2600,0,
INV00000196,2024-04-11,ING016,2400,2400,0,
INV00000197,2024-04-11,ING017,340,340,0,pending_delivery
INV00000198,2024-04-11,ING018,200,200,0,
INV00000199,2024-04-12,ING001,4778,4778,0,
INV00000200,2024-04-12,ING002,7860,7860,0,
INV00000201,2024-04-12,ING003,940,940,0,
INV00000202,2024-04-12,ING004,1040,1040,0,
INV00000203,2024-04-12,ING005,1250,1250,0,
INV00000204,2024-04-12,ING006,2000,2000,0,
INV00000205,2024-04-12,ING007,3000,3000,0,
INV00000206,2024-04-12,ING008,2730,2730,0,
INV00000207,2024-04-12,ING009,2450,2450,0,
INV00000208,2024-04-12,ING010,2175,2175,0,
INV00000209,2024-04-12,ING011,23,23,0,
INV00000210,2024-04-12,ING012,1495,1495,0,
INV00000211,2024-04-12,ING013,2400,2400,0,
INV00000212,2024-04-12,ING014,33,33,0,
INV00000213,2024-04-12,ING015,2450,2450,0,
INV00000214,2024-04-12,ING016,2300,2300,0,
INV00000215,2024-04-12,ING017,2250,2250,0,
INV00000216,2024-04-12,ING018,200,200,0,
INV00000217,2024-04-13,ING001,4472,4472,0,
INV00000218,2024-04-13,ING002,2060,2060,0,pending_delivery
INV00000219,2024-04-13,ING003,860,860,0,
INV00000220,2024-04-13,ING004,980,980,0,
INV00000221,2024-04-13,ING005,1050,1050,0,
INV00000222,2024-04-13,ING006,2000,2000,0,
INV00000223,2024-04-13,ING007,2850,2850,0,
INV00000224,2024-04-13,ING008,2650,2650,0,
INV00000225,2024-04-13,ING009,2430,2430,0,
INV00000226,2024-04-13,ING010,1805,1805,0,pending_delivery
INV00000227,2024-04-13,ING011,16,16,0,
INV00000228,2024-04-13,ING012,1325,1325,0,
INV00000229,2024-04-13,ING013,2260,2260,0,
INV00000230,2024-04-13,ING014,24,24,0,
INV00000231,2024-04-13,ING015,2250,2250,0,
INV00000232,2024-04-13,ING016,2150,2150,0,
INV00000233,2024-04-13,ING017,2210,2210,0,
INV00000234,2024-04-13,ING018,200,200,0,
INV00000235,2024-04-14,ING001,4002,4002,0,
INV00000236,2024-04-14,ING002,30000,30000,0,
INV00000237,2024-04-14,ING003,820,820,0,
INV00000238,2024-04-14,ING004,940,940,0,
INV00000239,2024-04-14,ING005,810,810,0,
INV00000240,2024-04-14,ING006,2000,2000,0,
INV00000241,2024-04-14,ING007,2460,2460,0,
INV00000242,2024-04-14,ING008,2480,2480,0,
INV00000243,2024-04-14,ING009,2290,2290,0,
INV00000244,2024-04-14,ING010,12000,12000,0,
INV00000245,2024-04-14,ING011,12,12,0,pending_delivery
INV00000246,2024-04-14,ING012,1120,1120,0,
INV00000247,2024-04-14,ING013,2090,2090,0,
INV00000248,2024-04-14,ING014,15,15,0,
INV00000249,2024-04-14,ING015,2150,2150,0,
INV00000250,2024-04-14,ING016,2050,2050,0,
INV00000251,2024-04-14,ING017,2075,2075,0,
INV00000252,2024-04-14,ING018,200,200,0,
INV00000253,2024-04-15,ING001,3142,3142,0,
INV00000254,2024-04-15,ING002,14860,14860,0,
INV00000255,2024-04-15,ING003,760,760,0,
INV00000256,2024-04-15,ING004,760,760,0,
INV00000257,2024-04-15,ING005,460,460,0,pending_delivery
INV00000258,2024-04-15,ING006,2000,2000,0,
INV00000259,2024-04-15,ING007,1910,1910,0,
INV00000260,2024-04-15,ING008,2100,2100,0,
INV00000261,2024-04-15,ING009,2070,2070,0,
INV00000262,2024-04-15,ING010,11090,11090,0,
INV00000263,2024-04-15,ING011,75,75,0,
INV00000264,2024-04-15,ING012,820,820,0,
INV00000265,2024-04-15,ING013,1840,1840,0,
INV00000266,2024-04-15,ING014,0,0,0,pending_delivery
INV00000267,2024-04-15,ING015,2000,2000,0,
INV00000268,2024-04-15,ING016,1600,1600,0,
INV00000269,2024-04-15,ING017,1975,1975,0,
INV00000270,2024-04-15,ING018,200,200,0,
INV00000271,2024-04-16,ING001,2360,2360,0,
INV00000272,2024-04-16,ING002,150,150,0,pending_delivery
INV00000273,2024-04-16,ING003,700,700,0,
INV00000274,2024-04-16,ING004,600,600,0,
INV00000275,2024-04-16,ING005,3000,3000,0,
INV00000276,2024-04-16,ING006,2000,2000,0,
INV00000277,2024-04-16,ING007,1390,1390,0,
INV00000278,2024-04-16,ING008,1790,1790,0,
INV00000279,2024-04-16,ING009,1970,1970,0,
INV00000280,2024-04-16,ING010,10435,10435,0,
INV00000281,2024-04-16,ING011,64,64,0,
INV00000282,2024-04-16,ING012,395,395,0,pending_delivery
INV00000283,2024-04-16,ING013,1480,1480,0,
INV00000284,2024-04-16,ING014,75,75,0,
INV00000285,2024-04-16,ING015,1850,1850,0,
INV00000286,2024-04-16,ING016,1200,1200,0,
INV00000287,2024-04-16,ING017,1830,1830,0,
INV00000288,2024-04-16,ING018,200,200,0,
INV00000289,2024-04-17,ING001,1746,1746,0,
INV00000290,2024-04-17,ING002,30000,30000,0,
INV00000291,2024-04-17,ING003,660,660,0,
INV00000292,2024-04-17,ING004,540,540,0,
INV00000293,2024-04-17,ING005,2710,2710,0,
INV00000294,2024-04-17,ING006,2000,2000,0,
INV00000295,2024-04-17,ING007,920,920,0,
INV00000296,2024-04-17,ING008,1560,1560,0,
INV00000297,2024-04-17,ING009,1740,1740,0,
INV00000298,2024-04-17,ING010,9740,9740,0,
INV00000299,2024-04-17,ING011,59,59,0,
INV00000300,2024-04-17,ING012,3000,3000,0,
INV00000301,2024-04-17,ING013,1270,1270,0,
INV00000302,2024-04-17,ING014,64,64,0,
INV00000303,2024-04-17,ING015,1750,1750,0,
INV00000304,2024-04-17,ING016,1050,1050,0,
INV00000305,2024-04-17,ING017,1675,1675,0,
INV00000306,2024-04-17,ING018,200,200,0,
INV00000307,2024-04-18,ING001,1338,1338,0,
INV00000308,2024-04-18,ING002,22000,22000,0,
INV00000309,2024-04-18,ING003,600,600,0,
INV00000310,2024-04-18,ING004,460,460,0,pending_delivery
INV00000311,2024-04-18,ING005,2290,2290,0,
INV00000312,2024-04-18,ING006,2000,2000,0,
INV00000313,2024-04-18,ING007,680,680,0,
INV00000314,2024-04-18,ING008,1360,1360,0,
INV00000315,2024-04-18,ING009,1600,1600,0,
INV00000316,2024-04-18,ING010,9500,9500,0,
INV00000317,2024-04-18,ING011,52,52,0,
INV00000318,2024-04-18,ING012,2640,2640,0,
INV00000319,2024-04-18,ING013,970,970,0,
INV00000320,2024-04-18,ING014,60,60,0,
INV00000321,2024-04-18,ING015,1600,1600,0,
INV00000322,2024-04-18,ING016,850,850,0,
INV00000323,2024-04-18,ING017,1615,1615,0,
INV00000324,2024-04-18,ING018,200,200,0,
INV00000325,2024-04-19,ING001,866,866,0,pending_delivery
INV00000326,2024-04-19,ING002,14260,14260,0,
INV00000327,2024-04-19,ING003,560,560,0,
INV00000328,2024-04-19,ING004,3000,3000,0,
INV00000329,2024-04-19,ING005,2260,2260,0,
INV00000330,2024-04-19,ING006,2000,2000,0,
INV00000331,2024-04-19,ING007,390,390,0,pending_delivery
INV00000332,2024-04-19,ING008,1160,1160,0,
INV00000333,2024-04-19,ING009,1510,1510,0,
INV00000334,2024-04-19,ING010,8945,8945,0,
INV00000335,2024-04-19,ING011,49,49,0,
INV00000336,2024-04-19,ING012,2615,2615,0,
INV00000337,2024-04-19,ING013,950,950,0,
INV00000338,2024-04-19,ING014,50,50,0,
INV00000339,2024-04-19,ING015,1500,1500,0,
INV00000340,2024-04-19,ING016,800,800,0,
INV00000341,2024-04-19,ING017,1480,1480,0,
INV00000342,2024-04-19,ING018,200,200,0,
INV00000343,2024-04-20,ING001,7500,7500,0,
INV00000344,2024-04-20,ING002,8270,8270,0,
INV00000345,2024-04-20,ING003,500,500,0,pending_delivery
INV00000346,2024-04-20,ING004,2960,2960,0,
INV00000347,2024-04-20,ING005,2090,2090,0,
INV00000348,2024-04-20,ING006,2000,2000,0,
INV00000349,2024-04-20,ING007,3000,3000,0,
INV00000350,2024-04-20,ING008,950,950,0,
INV00000351,2024-04-20,ING009,1430,1430,0,
INV00000352,2024-04-20,ING010,8380,8380,0,
INV00000353,2024-04-20,ING011,44,44,0,
INV00000354,2024-04-20,ING012,2470,2470,0,
INV00000355,2024-04-20,ING013,830,830,0,
INV00000356,2024-04-20,ING014,37,37,0,
INV00000357,2024-04-20,ING015,1350,1350,0,
INV00000358,2024-04-20,ING016,700,700,0,
INV00000359,2024-04-20,ING017,1425,1425,0,
INV00000360,2024-04-20,ING018,200,200,0,
INV00000361,2024-04-21,ING001,7152,7152,0,
INV00000362,2024-04-21,ING002,2300,2300,0,pending_delivery
INV00000363,2024-04-21,ING003,3000,3000,0,
INV00000364,2024-04-21,ING004,2880,2880,0,
INV00000365,2024-04-21,ING005,1950,1950,0,
INV00000366,2024-04-21,ING006,2000,2000,0,
INV00000367,2024-04-21,ING007,2720,2720,0,
INV00000368,2024-04-21,ING008,840,840,0,
INV00000369,2024-04-21,ING009,1290,1290,0,
INV00000370,2024-04-21,ING010,8085,8085,0,
INV00000371,2024-04-21,ING011,39,39,0,
INV00000372,2024-04-21,ING012,2350,2350,0,
INV00000373,2024-04-21,ING013,730,730,0,
INV00000374,2024-04-21,ING014,33,33,0,
INV00000375,2024-04-21,ING015,1300,1300,0,
INV00000376,2024-04-21,ING016,500,500,0,pending_delivery
INV00000377,2024-04-21,ING017,1340,1340,0,
INV00000378,2024-04-21,ING018,200,200,0,
INV00000379,2024-04-22,ING001,6370,6370,0,
INV00000380,2024-04-22,ING002,30000,30000,0,
INV00000381,2024-04-22,ING003,2900,2900,0,
INV00000382,2024-04-22,ING004,2800,2800,0,
INV00000383,2024-04-22,ING005,1590,1590,0,
INV00000384,2024-04-22,ING006,2000,2000,0,
INV00000385,2024-04-22,ING007,2200,2200,0,
INV00000386,2024-04-22,ING008,490,490,0,pending_delivery
INV00000387,2024-04-22,ING009,1200,1200,0,
INV00000388,2024-04-22,ING010,7560,7560,0,
INV00000389,2024-04-22,ING011,30,30,0,
INV00000390,2024-04-22,ING012,2040,2040,0,
INV00000391,2024-04-22,ING013,470,470,0,pending_delivery
INV00000392,2024-04-22,ING014,23,23,0,
INV00000393,2024-04-22,ING015,1050,1050,0,
INV00000394,2024-04-22,ING016,3000,3000,0,
INV00000395,2024-04-22,ING017,1235,1235,0,
INV00000396,2024-04-22,ING018,200,200,0,
INV00000397,2024-04-23,ING001,5640,5640,0,
INV00000398,2024-04-23,ING002,16570,16570,0,
INV00000399,2024-04-23,ING003,2820,2820,0,
INV00000400,2024-04-23,ING004,2700,2700,0,
INV00000401,2024-04-23,ING005,1210,1210,0,
INV00000402,2024-04-23,ING006,2000,2000,0,
INV00000403,2024-04-23,ING007,1780,1780,0,
INV00000404,2024-04-23,ING008,3000,3000,0,
INV00000405,2024-04-23,ING009,990,990,0,
INV00000406,2024-04-23,ING010,6985,6985,0,
INV00000407,2024-04-23,ING011,21,21,0,
INV00000408,2024-04-23,ING012,1715,1715,0,
INV00000409,2024-04-23,ING013,3000,3000,0,
INV00000410,2024-04-23,ING014,11,11,0,pending_delivery
INV00000411,2024-04-23,ING015,850,850,0,
INV00000412,2024-04-23,ING016,2750,2750,0,
INV00000413,2024-04-23,ING017,1140,1140,0,
INV00000414,2024-04-23,ING018,200,200,0,
INV00000415,2024-04-24,ING001,4884,4884,0,
INV00000416,2024-04-24,ING002,3750,3750,0,pending_delivery
INV00000417,2024-04-24,ING003,2640,2640,0,
INV00000418,2024-04-24,ING004,2660,2660,0,
INV00000419,2024-04-24,ING005,1030,1030,0,
INV00000420,2024-04-24,ING006,2000,2000,0,
INV00000421,2024-04-24,ING007,1090,1090,0,
INV00000422,2024-04-24,ING008,2740,2740,0,
INV00000423,2024-04-24,ING009,710,710,0,
INV00000424,2024-04-24,ING010,6400,6400,0,
INV00000425,2024-04-24,ING011,10,10,0,pending_delivery
INV00000426,2024-04-24,ING012,1560,1560,0,
INV00000427,2024-04-24,ING013,2870,2870,0,
INV00000428,2024-04-24,ING014,75,75,0,
INV00000429,2024-04-24,ING015,400,400,0,pending_delivery
INV00000430,2024-04-24,ING016,2650,2650,0,
INV00000431,2024-04-24,ING017,1005,1005,0,
INV00000432,2024-04-24,ING018,200,200,0,
INV00000433,2024-04-25,ING001,4502,4502,0,
INV00000434,2024-04-25,ING002,30000,30000,0,
INV00000435,2024-04-25,ING003,2600,2600,0,
INV00000436,2024-04-25,ING004,2640,2640,0,
INV00000437,2024-04-25,ING005,820,820,0,
INV00000438,2024-04-25,ING006,2000,2000,0,
INV00000439,2024-04-25,ING007,850,850,0,
INV00000440,2024-04-25,ING008,2600,2600,0,
INV00000441,2024-04-25,ING009,610,610,0,
INV00000442,2024-04-25,ING010,6095,6095,0,
INV00000443,2024-04-25,ING011,75,75,0,
INV00000444,2024-04-25,ING012,1380,1380,0,
INV00000445,2024-04-25,ING013,2720,2720,0,
INV00000446,2024-04-25,ING014,69,69,0,
INV00000447,2024-04-25,ING015,3000,3000,0,
INV00000448,2024-04-25,ING016,2600,2600,0,
INV00000449,2024-04-25,ING017,940,940,0,
INV00000450,2024-04-25,ING018,200,200,0,
INV00000451,2024-04-26,ING001,3840,3840,0,
INV00000452,2024-04-26,ING002,18050,18050,0,
INV00000453,2024-04-26,ING003,2560,2560,0,
INV00000454,2024-04-26,ING004,2580,2580,0,
INV00000455,2024-04-26,ING005,570,570,0,
INV00000456,2024-04-26,ING006,2000,2000,0,
INV00000457,2024-04-26,ING007,270,270,0,pending_delivery
INV00000458,2024-04-26,ING008,2300,2300,0,
INV00000459,2024-04-26,ING009,450,450,0,pending_delivery
INV00000460,2024-04-26,ING010,5710,5710,0,
INV00000461,2024-04-26,ING011,70,70,0,
INV00000462,2024-04-26,ING012,1170,1170,0,
INV00000463,2024-04-26,ING013,2550,2550,0,
INV00000464,2024-04-26,ING014,66,66,0,
INV00000465,2024-04-26,ING015,2900,2900,0,
INV00000466,2024-04-26,ING016,2450,2450,0,
INV00000467,2024-04-26,ING017,785,785,0,
INV00000468,2024-04-26,ING018,200,200,0,
INV00000469,2024-04-27,ING001,3484,3484,0,
INV00000470,2024-04-27,ING002,11440,11440,0,
INV00000471,2024-04-27,ING003,2480,2480,0,
INV00000472,2024-04-27,ING004,2480,2480,0,
INV00000473,2024-04-27,ING005,350,350,0,pending_delivery
INV00000474,2024-04-27,ING006,2000,2000,0,
INV00000475,2024-04-27,ING007,3000,3000,0,
INV00000476,2024-04-27,ING008,2140,2140,0,
INV00000477,2024-04-27,ING009,3000,3000,0,
INV00000478,2024-04-27,ING010,5285,5285,0,
INV00000479,2024-04-27,ING011,61,61,0,
INV00000480,2024-04-27,ING012,980,980,0,
INV00000481,2024-04-27,ING013,2390,2390,0,
INV00000482,2024-04-27,ING014,59,59,0,
INV00000483,2024-04-27,ING015,2700,2700,0,
INV00000484,2024-04-27,ING016,2200,2200,0,
INV00000485,2024-04-27,ING017,690,690,0,
INV00000486,2024-04-27,ING018,200,200,0,
INV00000487,2024-04-28,ING001,2930,2930,0,
INV00000488,2024-04-28,ING002,2410,2410,0,pending_delivery
INV00000489,2024-04-28,ING003,2340,2340,0,
INV00000490,2024-04-28,ING004,2400,2400,0,
INV00000491,2024-04-28,ING005,3000,3000,0,
INV00000492,2024-04-28,ING006,2000,2000,0,
INV00000493,2024-04-28,ING007,2440,2440,0,
INV00000494,2024-04-28,ING008,1990,1990,0,
INV00000495,2024-04-28,ING009,2830,2830,0,
INV00000496,2024-04-28,ING010,4855,4855,0,
INV00000497,2024-04-28,ING011,50,50,0,
INV00000498,2024-04-28,ING012,860,860,0,
INV00000499,2024-04-28,ING013,2290,2290,0,
INV00000500,2024-04-28,ING014,49,49,0,
INV00000501,2024-04-28,ING015,2350,2350,0,
INV00000502,2024-04-28,ING016,2000,2000,0,
INV00000503,2024-04-28,ING017,640,640,0,
INV00000504,2024-04-28,ING018,200,200,0,
INV00000505,2024-04-29,ING001,2512,2512,0,
INV00000506,2024-04-29,ING002,30000,30000,0,
INV00000507,2024-04-29,ING003,2320,2320,0,
INV00000508,2024-04-29,ING004,2300,2300,0,
INV00000509,2024-04-29,ING005,2800,2800,0,
INV00000510,2024-04-29,ING006,2000,2000,0,
INV00000511,2024-04-29,ING007,2140,2140,0,
INV00000512,2024-04-29,ING008,1890,1890,0,
INV00000513,2024-04-29,ING009,2630,2630,0,
INV00000514,2024-04-29,ING010,4545,4545,0,
INV00000515,2024-04-29,ING011,44,44,0,
INV00000516,2024-04-29,ING012,690,690,0,
INV00000517,2024-04-29,ING013,2150,2150,0,
INV00000518,2024-04-29,ING014,43,43,0,
INV00000519,2024-04-29,ING015,2300,2300,0,
INV00000520,2024-04-29,ING016,1750,1750,0,
INV00000521,2024-04-29,ING017,580,580,0,
INV00000522,2024-04-29,ING018,200,200,0,
INV00000523,2024-04-30,ING001,1952,1952,0,
INV00000524,2024-04-30,ING002,20660,20660,0,
INV00000525,2024-04-30,ING003,2200,2200,0,
INV00000526,2024-04-30,ING004,2220,2220,0,
INV00000527,2024-04-30,ING005,2660,2660,0,
INV00000528,2024-04-30,ING006,2000,2000,0,
INV00000529,2024-04-30,ING007,1660,1660,0,
INV00000530,2024-04-30,ING008,1730,1730,0,
INV00000531,2024-04-30,ING009,2500,2500,0,
INV00000532,2024-04-30,ING010,4050,4050,0,
INV00000533,2024-04-30,ING011,34,34,0,
INV00000534,2024-04-30,ING012,570,570,0,
INV00000535,2024-04-30,ING013,2050,2050,0,
INV00000536,2024-04-30,ING014,35,35,0,
INV00000537,2024-04-30,ING015,2000,2000,0,
INV00000538,2024-04-30,ING016,1550,1550,0,
INV00000539,2024-04-30,ING017,475,475,0,
INV00000540,2024-04-30,ING018,200,200,0,
